icg_id,modeldb_id,suffix,ion_class,icg_ref_id,authors,title,year,pubmedid,citation_count
3,101629,cagk,KCa,1,"Hemond P, Epstein D, Boley A, Migliore M, Ascoli GA, Jaffe DB",Distinct classes of pyramidal cells exhibit mutually exclusive firing patterns in hippocampal area CA3b.,2008,18189311,55
4,101629,cal,Ca,1,"Hemond P, Epstein D, Boley A, Migliore M, Ascoli GA, Jaffe DB",Distinct classes of pyramidal cells exhibit mutually exclusive firing patterns in hippocampal area CA3b.,2008,18189311,55
5,101629,can,Ca,1,"Hemond P, Epstein D, Boley A, Migliore M, Ascoli GA, Jaffe DB",Distinct classes of pyramidal cells exhibit mutually exclusive firing patterns in hippocampal area CA3b.,2008,18189311,55
6,101629,cat,Ca,1,"Hemond P, Epstein D, Boley A, Migliore M, Ascoli GA, Jaffe DB",Distinct classes of pyramidal cells exhibit mutually exclusive firing patterns in hippocampal area CA3b.,2008,18189311,55
8,101629,hd,IH,1,"Hemond P, Epstein D, Boley A, Migliore M, Ascoli GA, Jaffe DB",Distinct classes of pyramidal cells exhibit mutually exclusive firing patterns in hippocampal area CA3b.,2008,18189311,55
9,101629,kap,K,1,"Hemond P, Epstein D, Boley A, Migliore M, Ascoli GA, Jaffe DB",Distinct classes of pyramidal cells exhibit mutually exclusive firing patterns in hippocampal area CA3b.,2008,18189311,55
10,101629,kd,K,1,"Hemond P, Epstein D, Boley A, Migliore M, Ascoli GA, Jaffe DB",Distinct classes of pyramidal cells exhibit mutually exclusive firing patterns in hippocampal area CA3b.,2008,18189311,55
11,101629,kdr,K,1,"Hemond P, Epstein D, Boley A, Migliore M, Ascoli GA, Jaffe DB",Distinct classes of pyramidal cells exhibit mutually exclusive firing patterns in hippocampal area CA3b.,2008,18189311,55
12,101629,km,K,1,"Hemond P, Epstein D, Boley A, Migliore M, Ascoli GA, Jaffe DB",Distinct classes of pyramidal cells exhibit mutually exclusive firing patterns in hippocampal area CA3b.,2008,18189311,55
14,101629,nax,Na,1,"Hemond P, Epstein D, Boley A, Migliore M, Ascoli GA, Jaffe DB",Distinct classes of pyramidal cells exhibit mutually exclusive firing patterns in hippocampal area CA3b.,2008,18189311,55
15,102288,cal,Ca,2,"Lawrence JJ, Saraga F, Churchill JF, Statland JM, Travis KE, Skinner FK, McBain CJ",Somatodendritic Kv7/KCNQ/M channels control interspike interval in hippocampal interneurons.,2006,17122058,94
16,102288,cat,Ca,2,"Lawrence JJ, Saraga F, Churchill JF, Statland JM, Travis KE, Skinner FK, McBain CJ",Somatodendritic Kv7/KCNQ/M channels control interspike interval in hippocampal interneurons.,2006,17122058,94
17,102288,kca,KCa,2,"Lawrence JJ, Saraga F, Churchill JF, Statland JM, Travis KE, Skinner FK, McBain CJ",Somatodendritic Kv7/KCNQ/M channels control interspike interval in hippocampal interneurons.,2006,17122058,94
18,102288,Ika,K,2,"Lawrence JJ, Saraga F, Churchill JF, Statland JM, Travis KE, Skinner FK, McBain CJ",Somatodendritic Kv7/KCNQ/M channels control interspike interval in hippocampal interneurons.,2006,17122058,94
19,102288,IMminret,K,2,"Lawrence JJ, Saraga F, Churchill JF, Statland JM, Travis KE, Skinner FK, McBain CJ",Somatodendritic Kv7/KCNQ/M channels control interspike interval in hippocampal interneurons.,2006,17122058,94
21,102288,Ih,IH,2,"Lawrence JJ, Saraga F, Churchill JF, Statland JM, Travis KE, Skinner FK, McBain CJ",Somatodendritic Kv7/KCNQ/M channels control interspike interval in hippocampal interneurons.,2006,17122058,94
22,102288,Ikdrf,K,2,"Lawrence JJ, Saraga F, Churchill JF, Statland JM, Travis KE, Skinner FK, McBain CJ",Somatodendritic Kv7/KCNQ/M channels control interspike interval in hippocampal interneurons.,2006,17122058,94
23,102288,Ikdrfaxon,K,2,"Lawrence JJ, Saraga F, Churchill JF, Statland JM, Travis KE, Skinner FK, McBain CJ",Somatodendritic Kv7/KCNQ/M channels control interspike interval in hippocampal interneurons.,2006,17122058,94
24,102288,Ikdrs,K,2,"Lawrence JJ, Saraga F, Churchill JF, Statland JM, Travis KE, Skinner FK, McBain CJ",Somatodendritic Kv7/KCNQ/M channels control interspike interval in hippocampal interneurons.,2006,17122058,94
25,102288,Ikdrsaxon,K,2,"Lawrence JJ, Saraga F, Churchill JF, Statland JM, Travis KE, Skinner FK, McBain CJ",Somatodendritic Kv7/KCNQ/M channels control interspike interval in hippocampal interneurons.,2006,17122058,94
37,105385,cal_gp,Ca,3,"Mercer JN, Chan CS, Tkatch T, Held J, Surmeier DJ",Nav1.6 sodium channels are critical to pacemaking and fast spiking in globus pallidus neurons.,2007,18057213,74
