modeldb_id,model_name,paper_id,authors,title,journal,year,doi,pubmedid,citation_count,modeldb_model_count,all_paper_ids
26997,"Gamma oscillations in hippocampal interneuron networks (Wang, Buzsaki 1996)",4640,"Wang XJ, Buzsáki G",Gamma oscillation by synaptic inhibition in a hippocampal interneuronal network model.,The Journal of neuroscience : the official journal of the Society for Neuroscience,1996,10.1523/JNEUROSCI.16-20-06402.1996,,1631,1,4640
97860,Rejuvenation model of dopamine neuron (Chan et al. 2007),97861,"Chan CS, Guzman JN, Ilijic E, Mercer JN, Rick C, Tkatch T, Meredith GE, Surmeier DJ",'Rejuvenation' protects neurons in mouse models of Parkinson's disease.,Nature,2007,10.1038/nature05865,,895,1,97861
20212,CA1 pyramidal neuron:  as a 2-layer NN and subthreshold synaptic summation (Poirazi et al 2003),21227,"Poirazi P, Brannon T, Mel BW",Pyramidal neuron as two-layer neural network.,Neuron,2003,10.1016/s0896-6273(03)00149-1,,823,1,20216|21227|22353|45500
3507,"Xenopus Myelinated Neuron (Frankenhaeuser, Huxley 1964)",5057,"FRANKENHAEUSER B, HUXLEY AF",THE ACTION POTENTIAL IN THE MYELINATED NERVE FIBER OF XENOPUS LAEVIS AS COMPUTED ON THE BASIS OF VOLTAGE CLAMP DATA.,The Journal of physiology,1964,10.1113/jphysiol.1964.sp007378,,721,1,5057
8115,Fluctuating synaptic conductances recreate in-vivo-like activity (Destexhe et al 2001),3882,"Destexhe A, Rudolph M, Fellous JM, Sejnowski TJ",Fluctuating synaptic conductances recreate in vivo-like activity in neocortical neurons.,Neuroscience,2001,10.1016/s0306-4522(01)00344-x,,690,2,3882
53451,Spatial gridding and temporal accuracy in NEURON (Hines and Carnevale 2001),24580,"Hines ML, Carnevale NT",NEURON: a tool for neuroscientists.,"The Neuroscientist : a review journal bringing neurobiology, neurology and psychiatry",2001,10.1177/107385840100700207,,669,1,24580
114394,Na+ channel dependence of AP initiation in cortical pyramidal neuron (Kole et al. 2008),114396,"Kole MH, Ilschner SU, Kampa BM, Williams SR, Ruben PC, Stuart GJ",Action potential generation requires a high sodium channel density in the axon initial segment.,Nature neuroscience,2008,10.1038/nn2040,,657,1,114396
123897,Action Potential initiation and backpropagation in Neocortical L5 Pyramidal Neuron (Hu et al. 2009),123901,"Hu W, Tian C, Li T, Yang M, Hou H, Shu Y",Distinct contributions of Na(v)1.6 and Na(v)1.2 in action potential initiation and backpropagation.,Nature neuroscience,2009,10.1038/nn.2359,,654,1,123901
124043,Synaptic integration in tuft dendrites of layer 5 pyramidal neurons (Larkum et al. 2009),124045,"Larkum ME, Nevian T, Sandler M, Polsky A, Schiller J",Synaptic integration in tuft dendrites of layer 5 pyramidal neurons: a new unifying principle.,"Science (New York, N.Y.)",2009,10.1126/science.1171958,,639,1,124045
82849,Neocortical pyramidal neuron: deep; effects of dopamine (Durstewitz et al 2000),32013,"Durstewitz D, Seamans JK, Sejnowski TJ",Dopamine-mediated stabilization of delay-period activity in a network model of prefrontal cortex.,Journal of neurophysiology,2000,10.1152/jn.2000.83.3.1733,,625,1,32013
18198,Application of a common kinetic formalism for synaptic models (Destexhe et al 1994),4314,"Destexhe A, Mainen ZF, Sejnowski TJ","Synthesis of models for excitable membranes, synaptic transmission and neuromodulation using a common kinetic formalism.",Journal of computational neuroscience,1994,10.1007/BF00961734,,554,3,4314|13844|19255
18500,Kinetic synaptic models applicable to building networks (Destexhe et al 1998),12053,"Sejnowski TJ, Destexhe A, Mainen ZF",Kinetic models of synaptic transmission,Methods In Neuronal Modeling,1998,,,554,3,4314|12053|13844
21329,Gamma oscillations in hippocampal interneuron networks (Bartos et al 2002),19797,"Bartos M, Vida I, Frotscher M, Meyer A, Monyer H, Geiger JR, Jonas P",Fast synaptic inhibition promotes synchronized gamma oscillations in hippocampal interneuron networks.,Proceedings of the National Academy of Sciences of the United States of America,2002,10.1073/pnas.192233099,,543,1,19797
2488,Influence of dendritic structure on neocortical neuron firing patterns (Mainen and Sejnowski 1996),4252,"Mainen ZF, Sejnowski TJ",Influence of dendritic structure on firing pattern in model neocortical neurons.,Nature,1996,10.1038/382363a0,,527,1,4252
18197,Efficient Method for Computing Synaptic Conductance (Destexhe et al 1994),13844,"Sejnowski TJ, Destexhe A, Mainen Z",An efficient method for computing synaptic conductances based on a kinetic model of receptor binding,Neural Comput,1994,10.1162/neco.1994.6.1.14,,507,3,13844
